task_id,user_id,day_of_week,hour_of_day,tasks_scheduled_same_day,previous_misses_7d,completion_streak,avg_minutes_to_complete,reminder_enabled,number_of_reminders_sent_for_task,missed
ntcagrp2u4dtbh55,9v86wzs3t60rjiw1,0,11,1,0,2,720.0,0,0,0
6l1f90s9bp4m18o1,5qbswrpbjek5rbw2,0,23,3,0,3,200.0,1,0,0
d7q1ddpusddtv25a,tala753lc58drc11,4,7,2,0,0,-1.0,0,0,1
wvhdk8lw2lm349el,f8e8ld4d6af58c2j,4,21,1,0,1,-1.0,1,0,0
a07h23c42yfkjfpn,9tmqlizl08yg0jv1,2,0,1,0,0,-1.0,1,0,1
9yo18pajssuuqo1v,8j5ecruyf38diuov,5,15,1,0,0,-1.0,0,0,0
e4xyf9igfu8iogxp,7s55j2o7s3kkv9rf,0,20,4,1,0,-1.0,0,0,1
vwvm4w3zkwdeekgy,z0yncxll4zklooke,5,7,1,0,0,-1.0,0,0,0
8sryo4rcb1kjtgq0,9v86wzs3t60rjiw1,2,4,2,0,3,-1.0,0,0,0
p91i3vmzwffhhcmk,er14ffyvnvqjt7ye,3,14,1,0,1,60.0,1,0,0
4ofwwnc21o0z5qru,w5py6b2knftu2gc5,2,20,2,0,0,-1.0,1,0,0
d2qe4pa8hyexf7jx,yzycwtiqj7yhl1c3,0,17,2,0,2,-1.0,0,0,0
ecn0dl5e11e9ftax,7s55j2o7s3kkv9rf,2,8,2,0,0,-1.0,0,0,1
zk7a45hvgox22ini,vkizzqy72wx7ptx6,4,0,1,0,2,540.0,0,0,0
kz1poxtfdc79flv1,li7kq1uymrlrmjkv,2,22,4,0,0,-1.0,0,0,0
s2zge2j51b3jczuc,dswm31yihair4cow,1,3,1,0,1,180.0,0,0,0
t60plozjcns6g298,yzycwtiqj7yhl1c3,5,5,1,0,3,320.0,1,0,1
aoim458ax40dtirc,tvazccblskrt05ui,6,21,1,0,1,120.0,1,0,1
47o3lqi7e1ddqlem,c56t4ufel6246hid,2,13,4,0,0,-1.0,1,0,1
boq0iq2fa39e3nwx,5c34dxtad1ior56f,0,1,2,0,0,-1.0,0,0,0
m6jqfwwxr5rdnpx2,5c34dxtad1ior56f,0,23,2,0,1,300.0,0,0,0
vifiit2018u9n79g,w5py6b2knftu2gc5,1,1,1,0,1,120.0,1,0,0
lw3mg25cfzfdsncz,hv3a3zmf8mdd4v30,2,7,1,0,1,600.0,0,0,0
ye088o98bv78hu7f,f8e8ld4d6af58c2j,4,17,2,0,2,240.0,1,0,0
5rntdr5xyfc4kl8c,5c34dxtad1ior56f,6,7,2,0,2,420.0,0,0,0
txkdotrbad3wrdhw,f8e8ld4d6af58c2j,4,4,3,0,3,320.0,0,0,1
dy3o1icns8y7uiko,5qbswrpbjek5rbw2,3,21,1,0,4,-1.0,0,0,1
fvl03dut4s7azv2e,84u89yjb1qx6gvwr,0,15,1,0,0,-1.0,0,0,1
ybrjnm2l44y9ik01,z0yncxll4zklooke,3,11,1,0,1,420.0,1,0,0
g34iq7zj3swebnvg,5c34dxtad1ior56f,3,4,2,0,3,-1.0,1,0,0
yreg2iv7zzj64qhk,w5py6b2knftu2gc5,4,0,3,0,2,120.0,0,0,0
f1622vxyzx9jpnbz,tcs4cc5o7uubcxul,1,13,2,0,0,-1.0,0,0,0
xii5p5nvqebwuwqh,z0yncxll4zklooke,1,22,1,0,2,570.0,1,0,0
j1g1r1dwwo8nbhna,qm5k8p4q0b8ic8bb,3,3,1,0,0,420.0,0,0,1
9m6mg87oi0e0vgnx,5qbswrpbjek5rbw2,0,7,3,0,0,200.0,1,0,0
xjve3dzeedhhjshz,tala753lc58drc11,5,14,1,0,0,-1.0,1,0,0
jb354mype46aexl6,qh7m35ixokc1msy4,5,11,1,0,1,-1.0,0,0,1
rupw2w5506rr5pcx,8j5ecruyf38diuov,1,21,1,0,1,360.0,0,0,1
sqrf1llkstn3cpud,5c34dxtad1ior56f,6,5,1,0,4,450.0,0,0,0
4l1vznqdxamw2tnd,f4zw9xa3kx7eedtj,1,14,3,0,1,-1.0,0,0,0
qvs8a0tpv726yg3d,qm5k8p4q0b8ic8bb,2,0,1,0,0,420.0,1,0,0
0thhzy7ez9gtwz1u,7s55j2o7s3kkv9rf,0,1,1,0,0,-1.0,1,0,1
htmqwyuixns2zybn,qh7m35ixokc1msy4,3,22,2,0,0,-1.0,1,0,1
gyggsnpuevjlzffl,qm5k8p4q0b8ic8bb,5,23,2,0,1,510.0,1,0,0
8wru1xemix7ib5n2,tcs4cc5o7uubcxul,2,7,1,0,1,360.0,1,0,0
15pdtz91x70fqldb,84u89yjb1qx6gvwr,1,11,2,0,0,-1.0,0,0,0
kyvk7n3bfh024kwk,tala753lc58drc11,1,20,3,0,1,-1.0,1,0,0
h4gg24479qtkcd0r,5c34dxtad1ior56f,2,8,2,0,5,420.0,0,0,0
jmylrq1rdxck36h0,vz41nam148p0tvhh,4,17,2,0,0,-1.0,0,0,0
esdnai89y1ffuu5f,qh7m35ixokc1msy4,5,4,1,0,0,-1.0,0,0,0
jtgxnx4sn6sm5rrv,f8e8ld4d6af58c2j,5,15,2,0,0,320.0,1,0,1
ieves6ff7so8w503,hv3a3zmf8mdd4v30,5,17,2,0,2,600.0,1,0,0
dh4spfdrwb2serev,tvazccblskrt05ui,6,19,2,0,0,-1.0,1,0,0
k5ogz2ueaxylnfxj,er14ffyvnvqjt7ye,4,2,2,0,2,-1.0,1,0,0
qzfhomtzzf8adf7p,f4zw9xa3kx7eedtj,5,11,3,1,2,420.0,0,0,1
bvsigbiaf92movs0,tcs4cc5o7uubcxul,5,17,1,0,2,330.0,1,0,0
853uy8u118qqvaec,li7kq1uymrlrmjkv,4,12,2,0,1,660.0,0,0,0
y6rh05hhiwfd7yxw,f8e8ld4d6af58c2j,3,2,3,0,0,240.0,1,0,0
oyg9zqyahulwjtiq,dswm31yihair4cow,5,9,2,0,2,-1.0,0,0,0
f3gr94sz2kuuoyc3,f8e8ld4d6af58c2j,6,23,1,1,1,255.0,1,0,0
r06nkwfg3mwu4cfi,li7kq1uymrlrmjkv,2,23,1,0,2,460.0,1,0,1
gdc5tao1cjfx5lik,tcs4cc5o7uubcxul,4,15,1,0,3,-1.0,0,0,0
xt6ridlofas1ekty,li7kq1uymrlrmjkv,6,4,2,0,0,460.0,1,0,1
2wyjxtjgcedqqzrl,w5py6b2knftu2gc5,0,18,1,0,3,300.0,0,0,0
c1cqg433e1i1p0bq,tvazccblskrt05ui,2,16,1,0,1,660.0,0,0,0
a2voi8uyyf1irym8,z0yncxll4zklooke,2,23,2,0,3,-1.0,0,0,0
pkzggm0j36tcfkjn,7s55j2o7s3kkv9rf,1,23,1,1,0,-1.0,1,0,1
sc4e5hrdu4xszjnv,tala753lc58drc11,5,19,2,0,2,360.0,0,0,1
8d0tgsiwg0odwmqx,tcs4cc5o7uubcxul,2,16,1,0,4,-1.0,0,0,0
17j8qo09vs9kkh4a,9v86wzs3t60rjiw1,5,21,2,0,4,-1.0,0,0,0
u6vk0ucc1m3o55ix,7s55j2o7s3kkv9rf,6,19,1,0,0,-1.0,1,0,0
cubods1eeurxhw0i,z0yncxll4zklooke,5,11,3,0,4,405.0,1,0,0
hn14eb8753ayeqah,f4zw9xa3kx7eedtj,3,13,2,0,0,420.0,1,0,0
j4x5a5xin9dl5tgs,5qbswrpbjek5rbw2,1,2,4,0,1,210.0,0,0,0
78imoe0sy5ypuplv,hv3a3zmf8mdd4v30,2,2,1,0,3,480.0,0,0,1
el5015oop767j2dg,f8e8ld4d6af58c2j,3,0,3,0,2,240.0,1,0,1
1ajo091c795rlqio,vz41nam148p0tvhh,0,0,2,0,1,720.0,1,0,0
swbkok3qpwbsf3q0,9v86wzs3t60rjiw1,2,14,3,0,5,405.0,0,0,1
sn2s8nn16uxf5gzp,er14ffyvnvqjt7ye,3,20,1,0,3,280.0,1,0,0
a5kw3hgbmfbuvldd,vkizzqy72wx7ptx6,5,14,2,0,3,420.0,1,0,1
e4lohhcu9td0v2zp,tvazccblskrt05ui,4,9,3,0,2,-1.0,1,0,0
omuwahk2lslaym0w,vz41nam148p0tvhh,1,14,2,0,2,720.0,0,0,1
ytaul62cf4mntfvg,f8e8ld4d6af58c2j,2,10,3,0,0,228.0,1,0,0
g70s1f537ye0qzsa,tvazccblskrt05ui,6,18,1,0,3,-1.0,0,0,0
awshmlfzkicwmpeq,tala753lc58drc11,1,18,2,0,0,660.0,1,0,0
d2zdlx1q8f6jng7l,tvazccblskrt05ui,3,9,2,0,4,660.0,1,0,0
iifrchyp9umygy0z,vz41nam148p0tvhh,5,4,2,0,0,-1.0,0,0,1
wafftouhylu6k7p9,w5py6b2knftu2gc5,1,17,1,0,4,270.0,0,0,0
nntxrgn74f9yecaz,7s55j2o7s3kkv9rf,5,22,1,1,1,660.0,0,0,0
zj7ubbrnu8c0s41k,f4zw9xa3kx7eedtj,4,17,1,0,1,360.0,0,0,0
kb700ucrgb93wkcs,qh7m35ixokc1msy4,4,11,1,0,1,-1.0,0,0,0
v341onx0gu4bj3bq,tvazccblskrt05ui,0,10,1,0,5,528.0,0,0,0
4mjdxo100vhmygty,84u89yjb1qx6gvwr,5,17,1,0,1,-1.0,1,0,0
n1x2gdgkxcq91yy1,tvazccblskrt05ui,0,14,2,0,6,420.0,1,0,0
zdcujq6fx7xjz6us,qm5k8p4q0b8ic8bb,5,4,1,0,2,-1.0,1,0,0
t8cq1xgbngz6wmdw,dswm31yihair4cow,4,13,2,0,3,-1.0,0,0,0
yqy5fu7bfxq7bzeg,84u89yjb1qx6gvwr,6,10,1,1,2,300.0,0,0,1
l8hbgcj1gnfiue2w,tvazccblskrt05ui,6,14,2,0,7,492.0,1,0,0
gr8w2maietdn1th1,vkizzqy72wx7ptx6,2,13,1,0,0,540.0,1,0,1
7g2re6zvlhyl2ld0,yzycwtiqj7yhl1c3,3,13,2,0,0,-1.0,0,0,0
4qgm5v2wwg84d4r9,tala753lc58drc11,0,4,2,0,1,390.0,1,0,0
r23qiua08ekxdrkz,9v86wzs3t60rjiw1,4,1,2,0,0,-1.0,0,0,0
t22c50b8y5dnwngu,vkizzqy72wx7ptx6,5,2,1,1,0,420.0,0,0,0
rsezytkw2837c6qc,qm5k8p4q0b8ic8bb,1,14,2,0,3,480.0,1,0,1
c5i8xomxlvz4qke2,tcs4cc5o7uubcxul,6,11,1,0,5,240.0,0,0,1
9upnhzx9fq9tea71,yzycwtiqj7yhl1c3,5,5,2,0,1,-1.0,0,0,0
ftlo4qdbxvh7katq,yzycwtiqj7yhl1c3,2,17,1,0,2,390.0,1,0,0
0opf060o4vfk9sm7,qm5k8p4q0b8ic8bb,0,7,1,0,0,500.0,0,0,0
2fkxwexkg6xb1r8v,hv3a3zmf8mdd4v30,0,1,1,1,0,480.0,1,0,1
w8bkxcgw1vgll42j,vz41nam148p0tvhh,6,21,1,0,0,-1.0,0,0,0
zz2p6eeamyfp9s8g,9tmqlizl08yg0jv1,4,19,2,0,0,-1.0,0,0,0
q6bkadevvhybf0ju,yzycwtiqj7yhl1c3,1,14,1,0,3,440.0,0,0,1
p8gmnhie9ede1zub,5c34dxtad1ior56f,3,4,2,0,6,360.0,1,0,0
osyeoz906gnhh4oi,tala753lc58drc11,2,20,2,0,2,420.0,1,0,0
b03ragvlkw1xsrqk,tvazccblskrt05ui,6,4,1,0,8,528.0,1,0,1
rezrdyxyur4sor8w,5c34dxtad1ior56f,1,10,1,0,7,420.0,0,0,0
ckmalq5u6jzv9nou,7s55j2o7s3kkv9rf,0,4,2,0,2,-1.0,0,0,1
oi0d4dmc2rh2xk2p,8j5ecruyf38diuov,3,9,4,0,0,-1.0,1,0,0
670chqi014o46w4j,w5py6b2knftu2gc5,4,23,3,0,5,380.0,1,0,0
g48ra4dv56onxd70,9tmqlizl08yg0jv1,1,12,2,0,1,720.0,0,0,0
hjo5ctzetrij2frn,5c34dxtad1ior56f,4,19,3,0,8,264.0,0,0,0
77k71k4fpl3x2jc2,9v86wzs3t60rjiw1,6,4,4,0,1,570.0,1,0,1
2eowlcfs8314y2lr,qm5k8p4q0b8ic8bb,4,15,2,0,1,450.0,0,0,0
j4bwvf8guas173ri,tcs4cc5o7uubcxul,3,13,2,0,0,240.0,1,0,0
qaelyyzz0jdcli69,84u89yjb1qx6gvwr,4,22,1,0,0,-1.0,0,0,1
ebe5407k5w1jl6l9,c56t4ufel6246hid,3,15,1,1,0,-1.0,1,0,1
mhk403uxh9a1g7ir,tala753lc58drc11,3,9,1,0,3,360.0,1,0,0
l008uhbxlbc8nog8,qm5k8p4q0b8ic8bb,3,7,2,1,2,480.0,0,0,0
qnjvdpngwds9yxz7,6n7hv3izky22ubtx,3,23,4,0,3,720.0,0,0,1
z3mv1a0q24bozl01,5qbswrpbjek5rbw2,2,0,1,0,2,380.0,1,0,0
0k3wy8y2deg3zgar,vkizzqy72wx7ptx6,6,23,1,1,1,420.0,0,0,1
3omd4poru09bos07,8j5ecruyf38diuov,1,4,2,0,1,-1.0,0,0,0
vy74zq50op7xmr8f,f4zw9xa3kx7eedtj,3,10,3,0,2,405.0,0,0,0
3meiur9211u645vd,yzycwtiqj7yhl1c3,6,5,2,1,0,384.0,1,0,1
0dxme4po1i3msdn1,6n7hv3izky22ubtx,6,23,1,0,0,700.0,0,0,0
mo1pob7fu99259p5,er14ffyvnvqjt7ye,0,2,1,0,4,240.0,1,0,1
hkbm00e9kdts1fb2,w5py6b2knftu2gc5,0,11,3,0,6,120.0,1,0,0
z7x4iky3ufn0dsg2,8j5ecruyf38diuov,1,16,3,0,2,280.0,1,0,0
0pfsrq8stzqbfu7e,6n7hv3izky22ubtx,4,6,4,0,1,720.0,0,0,0
em5puu62rzv1sqqq,hv3a3zmf8mdd4v30,2,20,1,0,0,420.0,1,0,1
eugwubugr6e7ga2i,84u89yjb1qx6gvwr,6,1,2,0,0,300.0,0,0,0
f8yc8gzkdf6j76bi,er14ffyvnvqjt7ye,6,1,2,1,0,240.0,0,0,1
kodwh8n92tp6qaq3,tvazccblskrt05ui,4,23,3,0,0,372.0,0,0,0
ukpv8lymj1qi9mqv,f8e8ld4d6af58c2j,0,21,1,1,1,324.0,0,0,0
3mg1zaq7qhak7mdw,9v86wzs3t60rjiw1,3,21,2,0,0,468.0,0,0,0
ucecjuis2gy9ytju,vkizzqy72wx7ptx6,1,19,1,0,0,330.0,0,0,0
39iy87hlcwbpa274,8j5ecruyf38diuov,1,16,1,0,3,255.0,0,0,0
c2bvpdcb4owo52wq,tvazccblskrt05ui,1,6,3,1,1,492.0,0,0,1
gebevsxmvtfqvk8s,qm5k8p4q0b8ic8bb,1,22,1,0,3,330.0,0,0,1
wpfq2bhaiiwi08l0,z0yncxll4zklooke,3,7,3,0,5,400.0,0,0,0
hgjd3ex5mhqnngs2,5c34dxtad1ior56f,5,6,2,0,9,600.0,0,0,0
25485hcqxcs1xsrq,84u89yjb1qx6gvwr,2,21,1,0,1,360.0,1,0,0
d1ksibsmqpnrjapj,9tmqlizl08yg0jv1,5,8,1,0,2,420.0,1,0,0
9106ak32oouxqs1f,tvazccblskrt05ui,5,12,2,2,0,492.0,0,0,0
l0rxmip11ykvubf9,tvazccblskrt05ui,2,1,2,0,1,396.0,1,0,1
6nhksqnal6o9ep0o,er14ffyvnvqjt7ye,1,13,1,0,0,-1.0,0,0,0
5qu0k5qzzkw3gi60,8j5ecruyf38diuov,1,7,3,0,4,280.0,0,0,0
cd1lqjsqcz0n04oa,dswm31yihair4cow,1,21,2,0,4,270.0,1,0,0
1yfmhbyhz43xz6ol,5qbswrpbjek5rbw2,6,0,2,0,3,324.0,0,0,1
godlught7ehmgolo,f8e8ld4d6af58c2j,1,12,1,1,2,228.0,1,0,0
71eg1y9xca6qs0sz,5qbswrpbjek5rbw2,2,12,2,1,0,432.0,0,0,1
el2b2o31i0mhb792,z0yncxll4zklooke,6,20,1,0,6,60.0,0,0,1
pqfhpvku8h5r8mnq,er14ffyvnvqjt7ye,3,3,2,0,1,255.0,1,0,0
lzh6a50nooo0nl9c,er14ffyvnvqjt7ye,2,18,2,0,2,180.0,1,0,0
wyzxjqyjv84a1x7o,dswm31yihair4cow,0,17,2,0,5,270.0,0,0,1
07ol93aczsx0gnzh,c56t4ufel6246hid,5,3,2,0,0,-1.0,1,0,0
vrydc1au9dsav917,hv3a3zmf8mdd4v30,0,9,2,0,0,480.0,1,0,0
v5kz3nwxrog983am,hv3a3zmf8mdd4v30,6,20,2,0,1,510.0,1,0,0
se2kyt5gqexih1xd,7s55j2o7s3kkv9rf,2,21,2,1,0,540.0,0,0,1
7cm600x28pijkemv,w5py6b2knftu2gc5,3,20,3,0,7,360.0,1,0,0
tqf74rqvfx2zvl9e,hv3a3zmf8mdd4v30,3,21,1,1,2,420.0,1,0,0
9x49tmy91otkzh4o,qh7m35ixokc1msy4,1,9,1,0,2,280.0,0,0,1
n9ygcmr8esmpf0ie,tvazccblskrt05ui,5,4,2,2,0,492.0,1,0,1
6iv9rydvn9zkelz5,5qbswrpbjek5rbw2,3,14,1,0,0,180.0,1,0,1
aqlbuxdj1dek8g9x,5c34dxtad1ior56f,1,10,2,0,10,372.0,1,0,0
tvj0ptjxfq8y7fhw,vkizzqy72wx7ptx6,5,23,3,0,1,420.0,0,0,0
nmj5ian8nd7g0l3r,er14ffyvnvqjt7ye,4,8,1,1,3,228.0,1,0,1
xfuj7xn1ypqpmqk8,tvazccblskrt05ui,3,21,1,0,0,528.0,0,0,1
y7eryyteag3aptm9,vz41nam148p0tvhh,2,3,6,0,1,360.0,0,0,0
44krjawo778s6764,9tmqlizl08yg0jv1,6,8,5,0,3,320.0,1,0,0
nn6tj9xpf0a5zdke,9v86wzs3t60rjiw1,3,20,2,1,1,468.0,0,0,0
82emayb3pvarkcpw,tala753lc58drc11,5,3,2,0,4,660.0,0,0,0
b97pwdbolwimrsxk,9v86wzs3t60rjiw1,6,8,1,0,2,384.0,1,0,0
t5l0n2tnxhn5e0ev,5qbswrpbjek5rbw2,6,23,4,0,0,-1.0,0,0,0
6qz6cp7savzebu2y,dswm31yihair4cow,4,7,2,0,0,-1.0,1,0,1
zj4kjeitkx7je5b9,7s55j2o7s3kkv9rf,6,13,3,0,0,-1.0,0,0,0
jax57u0y8jwvhplh,5c34dxtad1ior56f,4,7,1,0,11,600.0,0,0,1
vcci68ds03vna31x,5qbswrpbjek5rbw2,0,15,3,1,1,324.0,0,0,0
cywe3dks4f6apfxi,f4zw9xa3kx7eedtj,1,22,3,0,3,-1.0,0,0,0
ywk5jrnj622592ff,5qbswrpbjek5rbw2,1,20,4,1,2,345.0,0,0,0
prtt3nupuy0zia9a,9v86wzs3t60rjiw1,2,4,2,0,3,520.0,0,0,1
f0zpbdurvfffia3o,7s55j2o7s3kkv9rf,3,14,2,1,1,540.0,0,0,0
t37szpf9s9ehwhg0,qm5k8p4q0b8ic8bb,2,0,1,1,0,312.0,0,0,1
ha6gh7idub9rbdl9,er14ffyvnvqjt7ye,3,10,2,0,0,195.0,0,0,0
q5dz53x1f8s0x7m2,5qbswrpbjek5rbw2,2,10,3,0,3,384.0,1,0,0
dl7fkndg1jrj5xfe,6n7hv3izky22ubtx,1,4,3,0,2,520.0,0,0,1
0i3a4kfocnqdqx6q,yzycwtiqj7yhl1c3,4,14,1,0,0,384.0,0,0,0
91c329hha1pjgfjc,yzycwtiqj7yhl1c3,2,21,2,0,1,360.0,1,0,1
6u3u6h0ufx3030a6,dswm31yihair4cow,6,15,2,0,0,-1.0,1,0,0
hhgy8nnkl3er9om3,9v86wzs3t60rjiw1,3,3,2,1,0,468.0,1,0,1
da7d0wtws3y4h1te,tala753lc58drc11,4,4,1,0,5,660.0,1,0,0
ba24s0lgupuowob7,vz41nam148p0tvhh,3,15,2,0,2,580.0,1,0,1
aa1fwt9ua09w1gxh,er14ffyvnvqjt7ye,4,2,3,0,1,384.0,1,0,0
orac8cynl63gaguv,tcs4cc5o7uubcxul,0,16,2,0,1,336.0,1,0,0
yejhdzxq3p87jh4z,f8e8ld4d6af58c2j,5,16,4,0,3,204.0,1,0,0
jov58toe3pgihnfl,li7kq1uymrlrmjkv,2,9,2,0,0,460.0,0,0,0
1llh2r9peglnukx4,5qbswrpbjek5rbw2,2,5,2,1,4,348.0,1,0,1
ozq48enwbbadlypg,yzycwtiqj7yhl1c3,3,20,1,0,0,420.0,1,0,1
e5158oqesux9l0ij,tala753lc58drc11,4,21,1,0,6,276.0,0,0,1
41lqfs6hn95s2gkf,li7kq1uymrlrmjkv,4,1,3,1,1,460.0,0,0,1
pnbn7gggjvsdbide,yzycwtiqj7yhl1c3,1,18,4,0,0,360.0,1,0,0
dszrk6ilcg6farmg,hv3a3zmf8mdd4v30,0,17,1,0,3,528.0,0,0,1
2mrmtxjq3kmsx54r,qh7m35ixokc1msy4,5,22,1,0,0,330.0,0,0,1
6q8sjy5op9lbsmwp,9tmqlizl08yg0jv1,1,1,2,0,4,-1.0,1,0,0
lpxajmk4x1fdj9hv,6n7hv3izky22ubtx,4,10,1,0,0,576.0,0,0,0
ohkk7qg24dsysymm,tvazccblskrt05ui,1,6,3,2,0,492.0,1,0,0
q1s4dj9dv3uy5evs,hv3a3zmf8mdd4v30,6,18,1,0,0,480.0,0,0,0
dhr3pceo934t3y4w,li7kq1uymrlrmjkv,3,15,1,1,0,460.0,0,0,0
fkeoubxxq6mf5qaf,vz41nam148p0tvhh,5,3,1,0,0,580.0,1,0,0
vgzsxjzvuv3cb0ix,6n7hv3izky22ubtx,5,22,2,2,1,520.0,1,0,1
v47lzn9uhjpkhf33,dswm31yihair4cow,4,17,2,0,1,312.0,0,0,0
sm642pw5uesdrbta,6n7hv3izky22ubtx,6,10,2,0,0,520.0,1,0,0
bph5ch3l16cr3uv4,hv3a3zmf8mdd4v30,0,18,1,1,1,480.0,0,0,0
a2hvnyarnnezteew,yzycwtiqj7yhl1c3,1,8,4,0,1,360.0,0,0,0
bmxikvrecjtr0m6h,qh7m35ixokc1msy4,6,10,1,0,0,330.0,1,0,1
te02bip18a4jvk8c,f8e8ld4d6af58c2j,4,0,1,0,4,240.0,1,0,0
v1m3pp00cdnzy47q,w5py6b2knftu2gc5,0,20,3,0,8,180.0,1,0,0
3veuljgqpq8r4hc7,84u89yjb1qx6gvwr,6,0,2,0,2,360.0,1,0,1
zczjjy4mzvmcpsil,9tmqlizl08yg0jv1,6,22,2,1,5,360.0,0,0,0
hlz02z7nuxf1x889,vkizzqy72wx7ptx6,1,3,5,1,2,330.0,1,0,0
yq8ocucnri2i397i,tala753lc58drc11,0,6,2,0,0,-1.0,0,0,0
0ebpy9e576mouze6,6n7hv3izky22ubtx,1,9,3,0,1,720.0,0,0,1
vnxnpsv8dkmu6u4p,hv3a3zmf8mdd4v30,3,7,1,1,2,576.0,1,0,1
917xfh41a68t2a3a,c56t4ufel6246hid,3,10,2,0,1,-1.0,1,0,1
0lsjws1zl7p72l4x,f4zw9xa3kx7eedtj,1,23,3,0,4,480.0,0,0,0
uhgpjnvwrxgkikr2,6n7hv3izky22ubtx,5,0,1,1,0,504.0,1,0,0
vybjh4oulyo3pjbr,6n7hv3izky22ubtx,2,9,3,0,1,420.0,0,0,0
1cbht94ozkfnotia,w5py6b2knftu2gc5,4,19,3,0,9,120.0,0,0,0
z1oa3vf02gvllsaj,li7kq1uymrlrmjkv,4,16,2,1,1,510.0,1,0,1
i9oinuxl39dg5rif,qm5k8p4q0b8ic8bb,5,4,1,1,0,384.0,0,0,0
zs49cdzn1f0fp8bp,qm5k8p4q0b8ic8bb,5,23,1,0,1,396.0,1,0,1
nvqhl097fzrlgq9a,7s55j2o7s3kkv9rf,0,13,2,0,2,510.0,0,0,0
7uxhvdhguesxnu4v,9v86wzs3t60rjiw1,6,20,2,0,0,510.0,1,0,0
eunnrlst54884z4u,w5py6b2knftu2gc5,5,21,2,0,10,384.0,1,0,1
hmhvl66sajxxo9zj,hv3a3zmf8mdd4v30,6,1,2,0,0,576.0,0,0,1
4epzl4j4x0ly66g9,vz41nam148p0tvhh,5,8,1,0,1,-1.0,0,0,0
lueq4d7d7gdlwaga,hv3a3zmf8mdd4v30,4,8,2,0,0,504.0,0,0,0
gkzjrumxqw3b4nth,tcs4cc5o7uubcxul,0,6,2,0,2,180.0,1,0,0
x6ldm6frm6gmft1p,9v86wzs3t60rjiw1,5,5,4,0,1,540.0,1,0,0
bs7587h91el88l12,8j5ecruyf38diuov,1,7,3,0,5,280.0,1,0,0
hrnqi7nl7olky5vt,7s55j2o7s3kkv9rf,1,4,2,2,3,468.0,0,0,0
flyrj8gosd3m0xo3,vz41nam148p0tvhh,6,9,2,0,2,504.0,0,0,1
8egp15ca8zjsw5pq,9tmqlizl08yg0jv1,0,16,1,0,6,288.0,1,0,0
ogtefr6mqw7673ub,f8e8ld4d6af58c2j,3,8,1,0,5,312.0,0,0,0
2u9wt2ybuh7jygsb,tala753lc58drc11,5,14,2,1,1,276.0,1,0,1
