image_path,label
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0016_sheared_1078.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0016_shifted_1348.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0016_shifted_1845.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0016_zoomed_1905.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0017_rotated_1693.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0017_sheared_1337.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0018_flipped_2234.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0018_rotated_179.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0019_bright_2032.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0019_sheared_741.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0019_zoomed_1821.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0020_sheared_1565.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0020_sheared_1711.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0021_flipped_2083.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0021_flipped_2128.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0021_shifted_813.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0022_rotated_2319.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0023_bright_650.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0023_noisy_1650.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0023_noisy_1662.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0023_noisy_2941.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0023_sheared_351.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0023_zoomed_713.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0024_bright_940.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0024_rotated_1256.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0025_bright_468.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0025_sheared_200.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0026_shifted_1415.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0026_zoomed_1029.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0026_zoomed_409.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0027_noisy_334.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0027_sheared_1448.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0027_sheared_538.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0028_rotated_1956.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0028_sheared_134.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0028_shifted_2120.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0028_shifted_640.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0001_bright_499.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0001_flipped_957.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0001_rotated_233.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0001_shifted_692.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0002_shifted_56.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0003_sheared_1308.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0004_flipped_1608.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0004_flipped_1754.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0004_flipped_2584.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0004_shifted_1454.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0004_zoomed_1196.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0005_noisy_335.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0005_rotated_477.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0005_sheared_13.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0005_sheared_399.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0006_flipped_2621.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0006_rotated_192.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0007_rotated_1615.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0008_flipped_1048.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0008_noisy_2864.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0008_rotated_1910.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0008_sheared_2171.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0008_shifted_620.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0008_zoomed_1840.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0010_flipped_1954.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0010_flipped_2481.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0011_flipped_2317.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0012_flipped_2669.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0012_noisy_545.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0012_sheared_1098.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0012_shifted_2181.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0014_sheared_2166.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0016_sheared_833.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0017_bright_1605.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0017_shifted_2080.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0018_bright_2408.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0018_noisy_1785.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0019_bright_2488.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0019_flipped_2502.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0019_noisy_255.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0019_noisy_521.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0019_rotated_221.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0019_rotated_2946.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0019_shifted_1223.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0019_zoomed_2852.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0020_sheared_2905.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0022_rotated_1457.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0023_noisy_452.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0024_flipped_2509.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0024_rotated_1268.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0024_shifted_1226.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0024_shifted_2187.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0024_zoomed_1788.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0025_bright_751.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0025_flipped_246.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0025_sheared_832.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0025_shifted_666.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0025_zoomed_1316.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0025_zoomed_1992.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0026_noisy_2107.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0026_noisy_2791.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0027_shifted_1156.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0027_shifted_2092.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0028_sheared_2356.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0029_bright_902.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0029_noisy_1593.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0030_flipped_1590.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0030_flipped_2073.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0030_flipped_401.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0031_flipped_1762.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0031_flipped_370.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0031_noisy_2298.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0031_rotated_1634.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0032_rotated_113.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0032_shifted_262.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/AloeVeraOriginalRust0032_zoomed_2013.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust0010.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00100.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00101.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00102.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00103.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00104.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00106.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00107.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00108.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00109.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust0011.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00110.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00111.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00112.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00113.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00114.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00115.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00116.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00117.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00118.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00119.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust0012.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00120.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00121.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00122.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00124.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00125.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00127.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00128.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00130.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00131.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00132.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00133.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00134.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00135.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00136.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00138.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00139.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust0014.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00140.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00141.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00142.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00143.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00144.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00145.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00146.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00147.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00148.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00149.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust0015.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00150.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00151.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00153.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00154.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00156.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00157.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00158.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00159.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust0016.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00160.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00164.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00165.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00166.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00167.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00168.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00169.JPG,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00170.jpg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00171.png,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00172.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00173.jpeg,Aloe Rust
Aloe Vera Leaf Disease Detection Dataset/Aloe Rust/processed_img_Aloe Rust00174.JPG,Aloe Rust
